feature,ks_stat,ks_p
age,0.265625,2.469763961261066e-10
bp,0.34375,3.6881121655214535e-17
bgr,0.128125,0.010397620652848463
bu,0.23125,6.507136365577655e-08
sc,0.225,1.6448641914567963e-07
sod,0.234375,4.052545685904059e-08
pot,0.275,4.6936908774929895e-11
hemo,0.153125,0.001083317850925874
pcv,0.271875,8.218995184622918e-11
wc,0.40625,5.337316434116078e-24
rc,0.421875,6.570075020156199e-26
sg,0.240625,1.5409840285941573e-08
al,0.353125,4.176227252925984e-18
su,0.48125,6.270153007970345e-34
rbc_0.0,0.028125,0.9996082213199577
rbc_1.0,0.0125,0.9999999999999998
pc_0.0,0.065625,0.4966830277516847
pc_1.0,0.021875,0.9999992063037023
pcc_0.0,0.034375,0.9917330438347178
pcc_1.0,0.03125,0.9977138596495655
ba_0.0,0.021875,0.9999992063037023
ba_1.0,0.0375,0.9783702910262686
htn_0.0,0.08125,0.2416895635069603
htn_1.0,0.015625,0.9999999999998569
dm_0.0,0.053125,0.7580724560481628
dm_1.0,0.040625,0.9548742028324789
cad_0.0,0.04375,0.9200124798264339
cad_1.0,0.01875,0.9999999975553525
appet_good,0.078125,0.28316950791509066
appet_poor,0.003125,1.0
pe_0.0,0.04375,0.9200124798264339
pe_1.0,0.015625,0.9999999999998569
ane_0.0,0.015625,0.9999999999998569
ane_1.0,0.0125,0.9999999999999998
