feature,ks_stat,ks_p
age,0.04404761904761905,0.8017975050876889
bp,0.2988095238095238,5.213453333052483e-17
bgr,0.01904761904761905,0.9999985635090988
bu,0.025,0.9992710800611476
sc,0.12023809523809524,0.004392159429921714
sod,0.07142857142857142,0.22889398941594905
pot,0.039285714285714285,0.8960514260387208
hemo,0.023809523809523808,0.9996968312534434
pcv,0.039285714285714285,0.8960514260387208
wc,0.03571428571428571,0.9474843495245133
rc,0.02976190476190476,0.9911675358972175
sg,0.02619047619047619,0.9984454001326766
al,0.08333333333333333,0.10521554693264112
su,0.02142857142857143,0.999967234587599
rbc_0.0,0.06547619047619048,0.32214291089213576
rbc_1.0,0.06547619047619048,0.32214291089213576
pc_0.0,0.060714285714285714,0.4133163512601107
pc_1.0,0.060714285714285714,0.4133163512601107
pcc_0.0,0.07261904761904762,0.21295381121752724
pcc_1.0,0.07261904761904762,0.21295381121752724
ba_0.0,0.058333333333333334,0.464115422087777
ba_1.0,0.058333333333333334,0.464115422087777
htn_0.0,0.016666666666666666,0.9999999852354587
htn_1.0,0.016666666666666666,0.9999999852354587
dm_0.0,0.0035714285714285713,1.0
dm_1.0,0.0035714285714285713,1.0
cad_0.0,0.07380952380952381,0.19787629973788284
cad_1.0,0.07380952380952381,0.19787629973788284
appet_good,0.05714285714285714,0.4906735007012035
appet_poor,0.05714285714285714,0.4906735007012035
pe_0.0,0.05119047619047619,0.6318553140393084
pe_1.0,0.05119047619047619,0.6318553140393084
ane_0.0,0.06666666666666667,0.30164721556596247
ane_1.0,0.06666666666666667,0.30164721556596247
